location,iso_code,date,total_vaccinations,people_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred
Alabama,AL,2021-03-07,1110132.0,709736.0,22.64,14.48
Alaska,AK,2021-03-07,295046.0,180563.0,40.33,24.68
Arizona,AZ,2021-03-07,2162602.0,1421436.0,29.71,19.53
Arkansas,AR,2021-03-07,765260.0,487494.0,25.36,16.15
California,CA,2021-03-07,10634752.0,7218393.0,26.92,18.27
Colorado,CO,2021-03-07,1626499.0,1047214.0,28.24,18.19
Connecticut,CT,2021-03-07,1195617.0,860174.0,33.53,24.13
Delaware,DE,2021-03-07,275467.0,173404.0,28.29,17.81
District of Columbia,DC,2021-03-07,225875.0,144563.0,32.01,20.48
Florida,FL,2021-03-07,5900450.0,3784364.0,27.47,17.62
Georgia,GA,2021-03-07,2366573.0,1420643.0,22.29,13.38
Hawaii,HI,2021-03-07,436036.0,270037.0,30.8,19.07
Idaho,ID,2021-03-07,471043.0,293237.0,26.36,16.41
Illinois,IL,2021-03-07,3473676.0,2327790.0,27.41,18.37
Indiana,IN,2021-03-07,1844669.0,1129750.0,27.4,16.78
Iowa,IA,2021-03-07,906470.0,627499.0,28.73,19.89
Kansas,KS,2021-03-07,734335.0,485304.0,25.21,16.66
Kentucky,KY,2021-03-07,1254160.0,826323.0,28.07,18.5
Louisiana,LA,2021-03-07,1180945.0,752140.0,25.4,16.18
Maine,ME,2021-03-07,399534.0,264388.0,29.72,19.67
Maryland,MD,2021-03-07,1645609.0,1059459.0,27.22,17.52
Massachusetts,MA,2021-03-07,2148356.0,1473003.0,31.17,21.37
Michigan,MI,2021-03-07,2716893.0,1726299.0,27.2,17.29
Minnesota,MN,2021-03-07,1681447.0,1113723.0,29.82,19.75
Mississippi,MS,2021-03-07,764699.0,497719.0,25.69,16.72
Missouri,MO,2021-03-07,1600118.0,1035633.0,26.07,16.87
Montana,MT,2021-03-07,337005.0,216011.0,31.53,20.21
Nebraska,NE,2021-03-07,556061.0,356330.0,28.75,18.42
Nevada,NV,2021-03-07,829262.0,532659.0,26.92,17.29
New Hampshire,NH,2021-03-07,382103.0,269235.0,28.1,19.8
New Jersey,NJ,2021-03-07,2534361.0,1684563.0,28.53,18.97
New Mexico,NM,2021-03-07,814029.0,515590.0,38.82,24.59
New York State,NY,2021-03-07,5237597.0,3447101.0,26.92,17.72
North Carolina,NC,2021-03-07,2830672.0,1826058.0,26.99,17.41
North Dakota,ND,2021-03-07,272721.0,176330.0,35.79,23.14
Ohio,OH,2021-03-07,3131288.0,2010947.0,26.79,17.2
Oklahoma,OK,2021-03-07,1278427.0,809717.0,32.31,20.46
Oregon,OR,2021-03-07,1172840.0,743899.0,27.81,17.64
Pennsylvania,PA,2021-03-07,3319263.0,2272818.0,25.93,17.75
Rhode Island,RI,2021-03-07,319369.0,227657.0,30.15,21.49
South Carolina,SC,2021-03-07,1347330.0,840618.0,26.17,16.33
South Dakota,SD,2021-03-07,322959.0,211042.0,36.51,23.86
Tennessee,TN,2021-03-07,1634598.0,1053348.0,23.94,15.42
Texas,TX,2021-03-07,6938167.0,4482702.0,23.93,15.46
United States,USA,2021-03-07,90351750.0,58873710.0,27.21,17.73
Utah,UT,2021-03-07,833167.0,483961.0,25.99,15.1
Vermont,VT,2021-03-07,191529.0,125483.0,30.69,20.11
Virginia,VA,2021-03-07,2445932.0,1552327.0,28.66,18.19
Washington,WA,2021-03-07,2143916.0,1362343.0,28.15,17.89
West Virginia,WV,2021-03-07,601440.0,368186.0,33.56,20.54
Wisconsin,WI,2021-03-07,1770069.0,1126849.0,30.4,19.35
Wyoming,WY,2021-03-07,178035.0,111926.0,30.76,19.34
