location,iso_code,date,total_vaccinations,people_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred
Albania,ALB,2021-02-09,1127,689,0.04,0.02
Algeria,DZA,2021-01-30,30,,0,
Andorra,AND,2021-02-10,1291,1291,1.67,1.67
Anguilla,AIA,2021-02-13,1341,1341,8.94,8.94
Argentina,ARG,2021-02-15,609791,372181,1.35,0.82
Austria,AUT,2021-02-15,,242625,,2.69
Azerbaijan,AZE,2021-02-06,65000,65000,0.64,0.64
Bahrain,BHR,2021-02-15,250946,250946,14.75,14.75
Bangladesh,BGD,2021-02-15,1132711,1132711,0.69,0.69
Belgium,BEL,2021-02-14,556882,366558,4.81,3.16
Bermuda,BMU,2021-02-09,10000,8400,16.06,13.49
Bolivia,BOL,2021-02-11,10167,,0.09,
Brazil,BRA,2021-02-15,5293979,5076110,2.49,2.39
Bulgaria,BGR,2021-02-15,77436,56113,1.11,0.81
Cambodia,KHM,2021-02-10,1492,1492,0.01,0.01
Canada,CAN,2021-02-15,1258360,,3.33,
Cayman Islands,CYM,2021-02-12,15543,9172,23.65,13.96
Chile,CHL,2021-02-15,2147272,2092453,11.23,10.95
China,CHN,2021-02-09,40520000,,2.82,
Costa Rica,CRI,2021-02-15,96948,54395,1.9,1.07
Croatia,HRV,2021-02-15,120603,67825,2.94,1.65
Cyprus,CYP,2021-02-11,55673,41673,6.36,4.76
Czechia,CZE,2021-02-14,450780,287031,4.21,2.68
Denmark,DNK,2021-02-14,404815,236645,6.99,4.09
Ecuador,ECU,2021-02-04,6228,6228,0.04,0.04
Egypt,EGY,2021-01-30,1315,,0,
Estonia,EST,2021-02-15,68497,46154,5.16,3.48
European Union,OWID_EUN,2021-02-15,21868638,14016569,4.92,3.15
Faeroe Islands,FRO,2021-02-10,5355,4134,10.96,8.46
Finland,FIN,2021-02-15,277186,210194,5,3.79
France,FRA,2021-02-14,2896472,2255597,4.27,3.33
Germany,DEU,2021-02-14,4146348,2736109,4.95,3.27
Gibraltar,GIB,2021-02-14,25941,15888,77,47.16
Greece,GRC,2021-02-15,554745,386049,5.32,3.7
Greenland,GRL,2021-01-27,2584,2584,4.55,4.55
Guernsey,GGY,2021-02-06,9947,,14.83,
Hungary,HUN,2021-02-14,465636,336297,4.82,3.48
Iceland,ISL,2021-02-15,19844,14087,5.82,4.13
India,IND,2021-02-15,8720822,,0.63,
Indonesia,IDN,2021-02-15,1578720,1096095,0.58,0.4
Iran,IRN,2021-02-09,3000,3000,0,0
Ireland,IRL,2021-02-12,265237,175238,5.37,3.55
Isle of Man,IMN,2021-02-14,13733,10405,16.15,12.24
Israel,ISR,2021-02-15,6599799,3988763,76.25,46.08
Italy,ITA,2021-02-15,3044535,1756512,5.04,2.91
Jersey,JEY,2021-02-07,21007,17829,20.78,17.64
Kuwait,KWT,2021-01-26,35000,,0.82,
Latvia,LVA,2021-02-14,37063,20861,1.96,1.11
Liechtenstein,LIE,2021-02-10,1018,,2.67,
Lithuania,LTU,2021-02-13,152505,98163,5.6,3.61
Luxembourg,LUX,2021-02-14,22895,17257,3.66,2.76
Maldives,MDV,2021-02-14,38591,,7.14,
Malta,MLT,2021-02-14,51641,35376,11.7,8.01
Mauritius,MUS,2021-02-01,207,207,0.02,0.02
Mexico,MEX,2021-02-15,749682,663484,0.58,0.51
Monaco,MCO,2021-01-18,2400,,6.12,
Morocco,MAR,2021-02-15,1707091,,4.62,
Myanmar,MMR,2021-02-02,103142,,0.19,
Nepal,NPL,2021-02-04,158487,,0.54,
Netherlands,NLD,2021-02-15,606861,,3.54,
Northern Cyprus,OWID_NCY,2021-01-22,11000,,2.88,
Norway,NOR,2021-02-14,302201,231862,5.57,4.28
Oman,OMN,2021-02-14,89212,76940,1.75,1.51
Pakistan,PAK,2021-02-10,27228,27228,0.01,0.01
Panama,PAN,2021-02-15,12441,,0.29,
Peru,PER,2021-02-15,79763,79763,0.24,0.24
Poland,POL,2021-02-14,2122245,1476274,5.61,3.9
Portugal,PRT,2021-02-15,529021,331321,5.19,3.25
Qatar,QAT,2021-01-28,50000,,1.74,
Romania,ROU,2021-02-15,1151112,696943,5.98,3.62
Russia,RUS,2021-02-10,3900000,2200000,2.67,1.51
Saint Helena,SHN,2021-02-03,107,,1.76,
Saudi Arabia,SAU,2021-02-14,446940,,1.28,
Serbia,SRB,2021-02-13,950871,783161,13.97,11.51
Seychelles,SYC,2021-02-13,55980,41799,56.92,42.5
Singapore,SGP,2021-02-10,256000,250000,4.38,4.27
Slovakia,SVK,2021-02-15,298256,235556,5.46,4.31
Slovenia,SVN,2021-02-14,118690,71025,5.71,3.42
Spain,ESP,2021-02-14,2561608,1491517,5.48,3.19
Sri Lanka,LKA,2021-02-14,189349,,0.88,
Sweden,SWE,2021-02-12,457862,341656,4.53,3.38
Switzerland,CHE,2021-02-10,481405,,5.56,
Turkey,TUR,2021-02-15,4182027,3608148,4.96,4.28
Turks and Caicos Islands,TCA,2021-02-08,6433,6433,16.62,16.62
United Arab Emirates,ARE,2021-02-15,5086835,,51.43,
United Kingdom,GBR,2021-02-14,15839781,15300151,23.33,22.54
United States,USA,2021-02-14,52884356,38292270,15.81,11.45
World,OWID_WRL,2021-02-15,177940478,91568162,2.28,1.17
